Titulo,Categoria,Resumo,Data,Status
"
Vassouras estão em pé por causa de “bug” na rotação da Terra, diz Nasa  ",ciencia,A Nasa (Agência Espacial Norte-Americana) mandou avisar que a Terra está passando por um “bug” na rotação que está deixando o planeta com “equilíbrio perfeito” que deixam vassouras em pé.,08/02/2020,1
"
Teste com copo de água define se café é puro ou impuro, mostra vídeo  ",ciencia,Vídeo mostra teste simples para verificar se o pó de café é puro ou impuro. É só colocar o produto em um copo de água e ver se dissolve.,06/02/2020,1
"
Extraterrestres deixam marcas no rio Quaraí, na divisa entre Brasil e Uruguai  ",ciencia,"Foram encontrados registros de vida extraterrestres no rio Quaraí, na divisa do Brasil e Uruguai. Um vídeo mostra círculos marcados às margens do rio, que ufologistas confirmaram se tratar do trabalho de OVNIs.",04/02/2020,1
"
Brasileiro inventou um carro movido a água que faz 1.000 km com um litro  ",ciencia,Um brasileiro revolucionou o mundo automobilístico ao inventar um carro movido a água que faz 1.000 km com apenas um litro. ,02/01/2020,1
"
Condenado à pena de morte morreu de infarto ao participar de experiência com cientista  ",ciencia,"Cientista do Arizona faz experimento científico que prova que mente humana é mais poderosa do que se imagina. Nela, condenado à pena de morte morreu de infarto após acreditar que teve o pulso cortado. ",27/12/2019,1
"
Cura definitiva do câncer foi encontrada e estará disponível até o início de 2020  ",ciencia,Empresa afirma ter encontrado a cura definitiva do câncer e promete que ela estará disponível em até um ano. Vídeo anuncia descoberta. ,25/12/2019,1
"
Marcela Rodriguez, estudante brasileira, ganha segundo lugar em concurso de física nuclear  ",ciencia,Imagem mostra a estudante brasileira Marcela Rodriguez. Ela ganhou o segundo lugar em um concurso de física nuclear na Rússia.,13/12/2019,1
"
Nasa admite que mudanças climáticas ocorrem por causa da órbita da Terra e não por ação do homem  ",ciencia,"Após 60 anos, a Nasa assumiu que o aquecimento global se deu por causa de mudanças na órbita da Terra e não por ação do homem. Segundo a agência espacial, dependendo da posição da Terra em relação ao sol, é que as condições climáticas vão variar drasticamente e até criar anormalidades.",26/09/2019,1
"
Flor Mahameru (Arya) do Himalaia só floresce a cada 400 anos foi encontrada  ",ciencia,A nossa geração teve o privilégio de ver a flor Mahameru (ou flor da Arya). Ela é do Himalaia e só floresce a cada 400 anos. Compartilhe a foto para todos. ,21/09/2019,1
"
Meteoro que caiu no Paraná fez cratera gigante em fazenda, mostra foto  ",ciencia,Imagens mostram um buraco gigantesco em uma fazenda causado pelo meteoro que caiu na região noroeste do Paraná.,17/09/2019,1
"
Setembro terá 5 luas, 5 domingos e 5 segundas, isto ocorre a cada 823 anos  ",ciencia,"O mês de setembro terá 5 luas, 5 domingos e 5 segundas-feiras. Este fenômeno ocorre a cada 823 anos e se chama bolsa de dinheiro. ",16/09/2019,1
"
Nasa afirma que queimadas na Amazônia estão abaixo da média e desmascara ambientalistas  ",ciencia,"Nasa diz, em comunicado, que queimadas na Amazônia em 2019 estão “abaixo da média” para a região e desmascara dados de ambientalistas. ",23/08/2019,1
"
Missão indiana Chandrayaan divulga fotos incríveis da Terra tiradas do espaço  ",ciencia,"Após lançar o orbitador Vikram à Lua, em 22 de julho, a missão indiana Chandrayaan conseguiu divulgar fotos incríveis da Terra tiradas do espaço. As imagens são lindas!",08/08/2019,1
"
Meteoro pode atingir a Terra e destruir a vida humana em outubro de 2019  ",ciencia,Nasa afirma que meteoro FT3 se chocará com a Terra e pode acabar com a vida humana em outubro de 2019. ,27/07/2019,1
"
Mar de Santos se acende pelo terceiro dia seguido em 2019  ",ciencia,Fenômeno da bioluminescência aparece em Santos e faz mar se acender por três dias seguidos em julho de 2019. Fotos mostram o fenômeno. ,06/07/2019,1
"
Pesquisa aponta que homens que gostam de “amor por trás” com parceiras são gays enrustidos  ",ciencia,"A pesquisa publicada pela Revista Nature comprovou que homens que gostam de fazer amor “por trás” com parceiras têm homossexualidade enrustida. Segundo o estudo, a prática tem um significado de negação da anatomia feminina.",05/06/2019,1
"
Documento da Nasa revela que Nibiru vai se chocar com a Terra e acabar com a raça humana  ",ciencia,"Documento da Nasa, publicado em 1988, revela que o planeta Nibiru se chocará com a Terra e acabará com a raça humana. ",27/05/2019,1
"
Governo vai acabar com a plataforma Lattes, do CNPq, depois da semana santa  ",ciencia,"Após semana santa, governo federal vai extinguir a plataforma Lattes, do CNPq, e pesquisadores devem salvar versão do currículo em PDF. ",15/04/2019,1
"
Empresa lança limão que já vem com cachaça dentro  ",ciencia,"A empresa Magnífica de Faria lançou o Limão Alegria, um limão que já vem com cachaça dentro. É quase uma plantação de caipirinha.",08/04/2019,1
"
Jeito certo de descascar abacaxi é arrancando os gomos com as mãos  ",ciencia,Vídeo revela um segredo. O jeito certo de se comer um abacaxi é arrancando os gomos com as mãos. ,12/03/2019,1
"
WD-40 é feito de óleo de peixe, é bom para queimaduras e serve para tudo  ",ciencia,"O óleo WD-40 é feito de óleo de peixe, tem 43 utilidades e serve para tratar de queimaduras.",23/02/2019,1
"
José Carlos ganhou concurso de física e vai representar o Brasil nas Olimpíadas  ",ciencia,"O estudante José Carlos, de 19 anos, morador da cidade de Lages (SC), venceu um concurso de física quântica e vai representar o Brasil nas Olimpíadas.",22/02/2019,1
"
Fenômeno do equinócio nos atingirá nos próximos 5 dias e trará calor ao Brasil  ",ciencia,Fenômeno do equinócio deve atingir o Brasil em 5 dias e elevar as temperaturas até os 40°C. Período requer atenção.,31/01/2019,1
"
OVNIs fazem círculos de luz no céu de Caxambu (MG), mostra vídeo  ",ciencia,"Vídeo mostra círculo sendo formado por OVNIs nos céus da cidade de Caxambu, Minas Gerais. Cidade é próxima a Varginha, cidade dos ETs.",04/12/2018,1
"
Dr. Yamamoto, professor de neurologia, criou imagem que mostra se você está cansado  ",ciencia,"Imagem criada pelo professor de Neurologia, Dr. Yamamoto, pode provar se você está cansado, estressado ou saudável. É uma ilusão de ótica que se movimenta (ou não). ",21/11/2018,1
"
Aluna de Lagoa Seca (PB) é campeã mundial de Física na França  ",ciencia,"Milena Cristina Califa, aluna de Lagoa Seca (PB), ganhou o campeonato mundial de física na França. Para ajudá-la, compartilhe uma foto no Facebook.",03/08/2018,1
"
Fenômeno Aphelion chega amanhã e vai trazer nova onda de frio  ",ciencia,"Terra vai ficar mais longe do Sol amanhã, por causa do fenômeno Aphelion, e clima vai ficar mais frio do que o normal até agosto.",25/04/2022,1
"
Asteroide 2009 JF1 vai destruir a Terra em maio de 2022  ",ciencia,Asteroide de 130 metros e com força de 250 mil toneladas vai se chocar contra a Terra no dia 6 de maio de 2022,13/01/2022,1
"
Aranha se esconde na praia, parece obra de arte e tem veneno mortal  ",ciencia,"Aranha de espécie mortal, que parece uma obra de arte enterrada no chão, se esconde em praias no Brasil. ",09/11/2021,1
"
Há um Vulcão em Ribeirão Preto (São Paulo) prestes a entrar em erupção  ",ciencia,Fumaça tóxica que está saindo do solo em Ribeirão Preto (São Paulo) é de um vulcão prestes a entrar em erupção.,05/11/2021,1
"
Perigeu da Lua gigante entre o Canadá e Rússia é mostrado em vídeo  ",ciencia,"Vídeo mostra o fenômeno da Lua chamado Perigeu entre o Canadá e a Rússia. No vídeo, a Lua fica gigante, causa um eclipse solar e desaparece.",27/08/2021,1
"
Misturar diesel na gasolina melhora desempenho do carro  ",ciencia,"Em vídeo, tiktoker mostra segredo para melhorar o desempenho do carro utilizando gasolina comum e diesel S10. ",24/07/2021,1
"
Lua no Ártico (entre a Rússia e o Canadá) fica gigante e cobre o Sol, mostra vídeo  ",ciencia,Vídeo mostra o momento em que a Lua fica gigante por 30 segundos e cobre o Sol por cinco segundos. Eclipse ocorreu entre a Rússia e o Canadá. ,27/05/2021,1
"
Ovnis são filmados em Jaraguá do Sul (SC), mostra vídeo  ",ciencia,"Em vídeo, ovnis aparecem sobrevoando município de Jaraguá do Sul (SC). Tudo foi flagrado por um morador da cidade. ",29/04/2021,1
"
Céu de Marte e som do planeta vermelho são mostrados em vídeos do Perseverance  ",ciencia,Vídeos da Perseverance mostram céu de Marte (que se pareceria com o da Terra) e som registrado no planeta vermelho.,03/03/2021,1
"
Fenômeno do equinócio nos afetará nos próximos 5 dias (em 2021) e trará calor  ",ciencia,"Nos próximos cinco dias, em 2021, teremos um forte onda de calor causada pelo fenômeno do equinócio. É por causa dele que há altas temperaturas no Brasil. ",01/02/2021,1
"
Forte onda de calor fará fevereiro de 2021 ser o mês mais quente da história  ",ciencia,Institutos de meteorologia como o Inmet e institutos do Chile alertam que fevereiro de 2021 será o mês mais quente da história por causa de uma onda de calor do fenômeno do equinócio. ,31/01/2021,1
"
Foto mostra lagarta venenosa que leva à morte em questão de horas  ",ciencia,Foto mostra lagarta venenosa que leva a morte em questão de horas se não for utilizado soro.,09/10/2020,1
"
Naja gigante é vista na China e pode chegar ao Brasil  ",ciencia,Foto mostra uma cobra naja gigante que foi vista na China e pode chegar ao Brasil. Isso mostra que é o fim dos tempos mesmo.,06/10/2020,1
"
Escorpiões cresceram e se reproduziram dentro de berinjela, mostra vídeo  ",ciencia,Vídeo mostra momento em que escorpiões saem de dentro de uma berinjela após crescerem e se reproduzirem dentro do alimento. ,01/10/2020,1
"
Lonomia é mais venenosa do que cascavel e não existe soro para o seu veneno  ",ciencia,"Cuidado porque estamos na época da lonomia, que é uma taturana mais venenosa do que cobra cascavel. Não existe soro para o veneno da lonomia.",23/09/2020,1
"
Teste de unha identifica se há alguém lhe espiando em um espelho de duas direções  ",ciencia,"Para identificar se você está sendo espionado através de um espelho de duas direções, basta fazer o teste de unha e ver a profundidade do seu reflexo. ",18/09/2020,1
"
Sarah Gilbert selecionou três filhos entre as cinco primeiras pessoas a testarem vacina de Oxford e a prometeu para setembro  ",ciencia,A cientista Sarah Gilbert selecionou três filhos entre as cinco primeiras pessoas a testarem a vacina de Oxford e a prometeu para setembro.,12/08/2020,1
"
Dragão Azul (Glacus Atlantucus) é um dos animais mais venenosos do oceano  ",ciencia,Vídeo mostra um Dragão Azul (Glacus Atlantucus) em Salvador (Bahia). É preciso ter cuidado porque ele é um dos animais mais venenosos que existem no mar. ,03/08/2020,1
"
Aranha com rabo de cobra é encontrado por dona de casa, mostra foto  ",ciencia,"Escorpiranha, aranha com rabo de cobra, é encontrada por dona de casa, mostra foto compartilhada na internet. ",19/07/2020,1
"
Bioluminescência em ondas do mar da Califórnia (EUA) ocorreram por causa de quarentena  ",ciencia,Fenômeno bioluminescente ocorre no mar da Califórnia (EUA) após a diminuição de turistas no local por causa da quarentena.,19/05/2020,1
"
Praia de Botafogo, no Rio de Janeiro, ficou limpa por causa da quarentena  ",ciencia,"A Praia de Botafogo, no Rio de Janeiro, ficou limpa por causa da quarentena. Um vídeo mostra as águas cristalinas após 60 dias de isolamento social.",19/05/2020,1
"
Vespa “assassina” que chegou aos EUA foi criada em laboratório da China  ",ciencia,A vespa “assassina” que chegou nos EUA foi criada em laboratório na China e foi filmada matando um rato em poucos segundos. ,10/05/2020,1
"
Tasuku Honjo, ganhador de Prêmio Nobel, diz que o coronavírus não é natural  ",ciencia,"O professor japonês Tasuku Honjo, ganhador do Prêmio Nobel, declarou que o coronavírus não é natural. Ele aponta que se trata de um vírus criado em laboratório. ",27/04/2020,1
"
Asteroide gigante vai bater na Terra em 29 de abril de 2020 e será o fim do mundo  ",ciencia,Nada emite alerta sobre asteroide que vai se chocar contra a Terra no dia 29 de abril e pode acabar com a raça humana. ,10/04/2020,1
"
Vassouras estão em pé por causa de “bug” na rotação da Terra, diz Nasa  ",ciencia,A Nasa (Agência Espacial Norte-Americana) mandou avisar que a Terra está passando por um “bug” na rotação que está deixando o planeta com “equilíbrio perfeito” que deixam vassouras em pé.,08/02/2020,1
"
Teste com copo de água define se café é puro ou impuro, mostra vídeo  ",ciencia,Vídeo mostra teste simples para verificar se o pó de café é puro ou impuro. É só colocar o produto em um copo de água e ver se dissolve.,06/02/2020,1
"
Extraterrestres deixam marcas no rio Quaraí, na divisa entre Brasil e Uruguai  ",ciencia,"Foram encontrados registros de vida extraterrestres no rio Quaraí, na divisa do Brasil e Uruguai. Um vídeo mostra círculos marcados às margens do rio, que ufologistas confirmaram se tratar do trabalho de OVNIs.",04/02/2020,1
"
Brasileiro inventou um carro movido a água que faz 1.000 km com um litro  ",ciencia,Um brasileiro revolucionou o mundo automobilístico ao inventar um carro movido a água que faz 1.000 km com apenas um litro. ,02/01/2020,1
"
Condenado à pena de morte morreu de infarto ao participar de experiência com cientista  ",ciencia,"Cientista do Arizona faz experimento científico que prova que mente humana é mais poderosa do que se imagina. Nela, condenado à pena de morte morreu de infarto após acreditar que teve o pulso cortado. ",27/12/2019,1
"
Cura definitiva do câncer foi encontrada e estará disponível até o início de 2020  ",ciencia,Empresa afirma ter encontrado a cura definitiva do câncer e promete que ela estará disponível em até um ano. Vídeo anuncia descoberta. ,25/12/2019,1
"
Marcela Rodriguez, estudante brasileira, ganha segundo lugar em concurso de física nuclear  ",ciencia,Imagem mostra a estudante brasileira Marcela Rodriguez. Ela ganhou o segundo lugar em um concurso de física nuclear na Rússia.,13/12/2019,1
"
Nasa admite que mudanças climáticas ocorrem por causa da órbita da Terra e não por ação do homem  ",ciencia,"Após 60 anos, a Nasa assumiu que o aquecimento global se deu por causa de mudanças na órbita da Terra e não por ação do homem. Segundo a agência espacial, dependendo da posição da Terra em relação ao sol, é que as condições climáticas vão variar drasticamente e até criar anormalidades.",26/09/2019,1
"
Flor Mahameru (Arya) do Himalaia só floresce a cada 400 anos foi encontrada  ",ciencia,A nossa geração teve o privilégio de ver a flor Mahameru (ou flor da Arya). Ela é do Himalaia e só floresce a cada 400 anos. Compartilhe a foto para todos. ,21/09/2019,1
"
Meteoro que caiu no Paraná fez cratera gigante em fazenda, mostra foto  ",ciencia,Imagens mostram um buraco gigantesco em uma fazenda causado pelo meteoro que caiu na região noroeste do Paraná.,17/09/2019,1
"
Setembro terá 5 luas, 5 domingos e 5 segundas, isto ocorre a cada 823 anos  ",ciencia,"O mês de setembro terá 5 luas, 5 domingos e 5 segundas-feiras. Este fenômeno ocorre a cada 823 anos e se chama bolsa de dinheiro. ",16/09/2019,1
"
Nasa afirma que queimadas na Amazônia estão abaixo da média e desmascara ambientalistas  ",ciencia,"Nasa diz, em comunicado, que queimadas na Amazônia em 2019 estão “abaixo da média” para a região e desmascara dados de ambientalistas. ",23/08/2019,1
"
Missão indiana Chandrayaan divulga fotos incríveis da Terra tiradas do espaço  ",ciencia,"Após lançar o orbitador Vikram à Lua, em 22 de julho, a missão indiana Chandrayaan conseguiu divulgar fotos incríveis da Terra tiradas do espaço. As imagens são lindas!",08/08/2019,1
"
Meteoro pode atingir a Terra e destruir a vida humana em outubro de 2019  ",ciencia,Nasa afirma que meteoro FT3 se chocará com a Terra e pode acabar com a vida humana em outubro de 2019. ,27/07/2019,1
"
Mar de Santos se acende pelo terceiro dia seguido em 2019  ",ciencia,Fenômeno da bioluminescência aparece em Santos e faz mar se acender por três dias seguidos em julho de 2019. Fotos mostram o fenômeno. ,06/07/2019,1
"
Pesquisa aponta que homens que gostam de “amor por trás” com parceiras são gays enrustidos  ",ciencia,"A pesquisa publicada pela Revista Nature comprovou que homens que gostam de fazer amor “por trás” com parceiras têm homossexualidade enrustida. Segundo o estudo, a prática tem um significado de negação da anatomia feminina.",05/06/2019,1
"
Documento da Nasa revela que Nibiru vai se chocar com a Terra e acabar com a raça humana  ",ciencia,"Documento da Nasa, publicado em 1988, revela que o planeta Nibiru se chocará com a Terra e acabará com a raça humana. ",27/05/2019,1
"
Governo vai acabar com a plataforma Lattes, do CNPq, depois da semana santa  ",ciencia,"Após semana santa, governo federal vai extinguir a plataforma Lattes, do CNPq, e pesquisadores devem salvar versão do currículo em PDF. ",15/04/2019,1
"
Empresa lança limão que já vem com cachaça dentro  ",ciencia,"A empresa Magnífica de Faria lançou o Limão Alegria, um limão que já vem com cachaça dentro. É quase uma plantação de caipirinha.",08/04/2019,1
"
Jeito certo de descascar abacaxi é arrancando os gomos com as mãos  ",ciencia,Vídeo revela um segredo. O jeito certo de se comer um abacaxi é arrancando os gomos com as mãos. ,12/03/2019,1
"
WD-40 é feito de óleo de peixe, é bom para queimaduras e serve para tudo  ",ciencia,"O óleo WD-40 é feito de óleo de peixe, tem 43 utilidades e serve para tratar de queimaduras.",23/02/2019,1
"
José Carlos ganhou concurso de física e vai representar o Brasil nas Olimpíadas  ",ciencia,"O estudante José Carlos, de 19 anos, morador da cidade de Lages (SC), venceu um concurso de física quântica e vai representar o Brasil nas Olimpíadas.",22/02/2019,1
"
Fenômeno do equinócio nos atingirá nos próximos 5 dias e trará calor ao Brasil  ",ciencia,Fenômeno do equinócio deve atingir o Brasil em 5 dias e elevar as temperaturas até os 40°C. Período requer atenção.,31/01/2019,1
"
OVNIs fazem círculos de luz no céu de Caxambu (MG), mostra vídeo  ",ciencia,"Vídeo mostra círculo sendo formado por OVNIs nos céus da cidade de Caxambu, Minas Gerais. Cidade é próxima a Varginha, cidade dos ETs.",04/12/2018,1
"
Dr. Yamamoto, professor de neurologia, criou imagem que mostra se você está cansado  ",ciencia,"Imagem criada pelo professor de Neurologia, Dr. Yamamoto, pode provar se você está cansado, estressado ou saudável. É uma ilusão de ótica que se movimenta (ou não). ",21/11/2018,1
"
Aluna de Lagoa Seca (PB) é campeã mundial de Física na França  ",ciencia,"Milena Cristina Califa, aluna de Lagoa Seca (PB), ganhou o campeonato mundial de física na França. Para ajudá-la, compartilhe uma foto no Facebook.",03/08/2018,1
"
Vídeo mostra movimento da crosta terrestre na Itália que ocorreu ontem  ",ciencia,"Ontem, a Itália experimentou o movimento da crosta terrestre. Vídeo mostra evento, que é inédito na humanidade.",01/08/2018,1
"
Movimento da crosta terrestre na Mongólia é flagrado em vídeo  ",ciencia,Vídeo compartilhado na internet mostra movimento da crosta terrestre na Mongólia. Esta é a primeira vez que o fenômeno acontece.,25/07/2018,1
"
Corante da Fanta Laranja é absorvido por guardanapo de papel em vídeo  ",ciencia,Vídeo prova que a Fanta Laranja é cheia de corantes. Uma mulher da China conseguiu absorver toda a tinta do refrigerante usando um apenas guardanapo de papel.,24/07/2018,1
"
Brasileira Milena Cristina Califa é campeã na Olimpíada Mundial de Física  ",ciencia,A brasileira Milena Cristina Califa conquistou um feito incrível. Ela se tornou campeã mundial na Olimpíada Mundial de Física realizada na França.,09/07/2018,1
"
Brasileiro José Manuel Velazquez ganhou o concurso nacional de física quântica  ",ciencia,O jovem brasileiro José Manuel Velazquez conseguiu um feito incrível. Ele ganhou o concurso de física quântica a nível nacional e vai para as olimpíadas de física.,24/06/2018,1
"
Carta de rejeição de Albert Einstein na Universidade de Berna foi encontrada  ",ciencia,"Carta de rejeição de Albert Einstein na Universidade de Berna, que aponta que seu pedido para o cargo de professor associado foi negado, viralizou na internet.",22/06/2018,1
"
Brasileira Marcela Pereira ficou em 2º lugar no concurso de física nuclear na Rússia  ",ciencia,"A brasileira Marcela Pereira, da Universidade de Valinhos e da UFMS, ficou em segundo lugar no concurso de física nuclear na Rússia. Porém, ninguém se importa.",19/06/2018,1
"
Foto mostra buraco gigante feito por meteorito em Pirassununga, interior de São Paulo  ",ciencia,"Meteorito que passou pelo interior de São Paulo, fez um buraco enorme em uma propriedade da região e assustou os moradores locais.",01/06/2018,1
"
Máquina separa bolinhas por cores por causa da física quântica  ",ciencia,"Vídeo viral mostra bolinhas caindo em máquina que, no final, as separa por cores. A explicação seria simples: física quântica! ",30/04/2018,1
"
Tecido que torna invisível é inventado por cientista na China  ",ciencia,Cientista chinês desenvolve tecido que torna invisível. Capa da invisibilidade faz ele se tornar reitor da Universidade de Hong Kong.,15/12/2017,1
"
Cheirar pum do parceiro prolonga vida e evita doenças  ",ciencia,"Segundo pesquisas realizadas por cientistas da Universidade de Exeter, cheirar pum do parceiro diminui risco de câncer",09/12/2017,1
"
Fim do mundo será em 23 de setembro de 2017  ",ciencia,Está confirmado! Fim do mundo será no dia 23 de setembro de 2017. Nibiru vai se chocar contra Terra e vai confirmar a Bíblia. ,15/09/2017,1
"
Nasa confirmou profecia de tsunami no Brasil após recuo do mar  ",ciencia,Nasa confirmou uma profecia de futura desgraça no Brasil. Recuo do mar é o sinal que anuncia um tsunami iminente.,15/08/2017,1
"
Vídeo mostra momento em que raio atinge rio e causa explosão  ",ciencia,Raio atinge leito de rio no momento de gravação. Descarga elétrica causou explosão e intrigou internautas em redes sociais. ,05/08/2017,1
"
Hunters moon: dois sóis surgiram na fronteira dos EUA e Canadá  ",ciencia,Dois sóis apareceram na fronteira dos EUA com o Canadá. Um é o sol e outro é a lua. O fenômeno é chamado Hunters Moon.,02/07/2017,1
"
Vídeo flagra OVNI na Espanha, Poços de Caldas e Porto Rico  ",ciencia,"Um OVNI e um extraterrestre foram flagrados em um vídeo que viralizou na internet. Há algumas versões da Espanha, Poços de Caldas e Porto Rico.",31/03/2017,1
"
Vídeo flagra OVNI (disco voador) gigante na Malásia  ",ciencia,Filmagem mostra OVNI gigante sobrevoando os céus da Malásia. Assista ao vídeo do disco voador antes que apaguem.,01/02/2017,1
"
Asteroide vai se chocar com a Terra em fevereiro de 2017  ",ciencia,Agora é sério! Mundo vai acabar após asteroide se chocar com a Terra no dia 16 de fevereiro de 2017. Previsão é do renomado astrônomo russo Dyomin Damir Zakharovich.,29/01/2017,1
"
7 histórias (falsas) atribuídas a Nasa que as pessoas sempre acreditam ",ciencia,"A Agência Espacial Norte-americana, há anos, observa o Universo e o planeta Terra em busca de respostas. Por causa de seu prestígio, sempre a citam para dar credibilidade às balelas. Separamos sete histórias falsas atribuídas a Nasa que enganam as pessoas na web todos os anos.",17/12/2016,1
"
Nasa confirma Bíblia: Terra terá 6 dias de escuridão  ",ciencia,A Nasa confirmou uma tese bíblica e confirmou que a Terra terá seis dias de escuridão em dezembro de 2016.,30/11/2016,1
"
Meteoro vai se chocar contra a Terra em 2019  ",ciencia,"Segundo os cálculos dos cientistas da Nasa, meteoro com dois quilômetros de diâmetro vai destruir o planeta por completo em fevereiro de 2019.",28/11/2016,1
"
Nasa confirma catástrofe no Brasil e faz alerta de tsunami  ",ciencia,A Nasa confirmou que catástrofe irá acontecer no Brasil e faz um alerta para os próximos dias para um tsunami no país.,21/10/2016,1
"
Cientista diz que criou vírus da aids para despovoar  ",ciencia,"Cientista Robert Gallo admitiu que criou o vírus HIV, da aids, com a intenção de despovoar a população mundial.",11/07/2016,1
